Fecha,Páginas afectadas
2026-01-17,1
2026-01-18,1
2026-01-19,1
2026-01-20,1
2026-01-21,1
2026-01-22,1
2026-01-23,1
2026-01-24,1
2026-01-25,1
2026-01-26,1
2026-01-27,1
2026-01-28,1
2026-01-29,1
2026-01-30,1
2026-01-31,1
2026-02-01,0
2026-02-02,0
2026-02-03,0
2026-02-04,0
2026-02-05,0
2026-02-06,0
2026-02-07,0
2026-02-08,0
2026-02-09,0
2026-02-10,0
2026-02-11,0
2026-02-12,0
2026-02-13,0
2026-02-14,0
2026-02-15,0
2026-02-16,0
2026-02-17,0
2026-02-18,0
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,0
2026-02-24,0
2026-02-25,0
2026-02-26,0
2026-02-27,0
2026-02-28,0
2026-03-01,0
2026-03-02,0
2026-03-03,0
2026-03-04,0
2026-03-05,0
2026-03-06,0
2026-03-07,0
2026-03-08,0
2026-03-09,0
2026-03-10,0
2026-03-11,0
2026-03-12,0
2026-03-13,0
2026-03-14,0
2026-03-15,0
2026-03-16,0
2026-03-17,0
2026-03-18,0
2026-03-19,0
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,2
2026-03-26,2
2026-03-27,2
2026-03-28,2
2026-03-29,5
2026-03-30,5
2026-03-31,5
2026-04-01,5
2026-04-02,5
2026-04-03,5
2026-04-04,5
2026-04-05,5
2026-04-06,5
2026-04-07,6
2026-04-08,6
2026-04-09,6
2026-04-10,6
2026-04-11,8
2026-04-12,8
2026-04-13,8