Fecha,Clics,Impresiones,CTR,Posición
2026-01-16,0,144,0%,20.2
2026-01-17,0,167,0%,22.5
2026-01-18,1,185,0.54%,24.5
2026-01-19,0,267,0%,24.3
2026-01-20,0,171,0%,21.6
2026-01-21,2,173,1.16%,17.8
2026-01-22,0,157,0%,23.8
2026-01-23,1,132,0.76%,24.5
2026-01-24,1,125,0.8%,19.3
2026-01-25,2,154,1.3%,20.6
2026-01-26,2,251,0.8%,25.8
2026-01-27,2,143,1.4%,24.6
2026-01-28,1,157,0.64%,19.3
2026-01-29,0,163,0%,19.5
2026-01-30,2,139,1.44%,20.7
2026-01-31,0,151,0%,23.4
2026-02-01,0,259,0%,23.6
2026-02-02,1,160,0.62%,18.4
2026-02-03,1,127,0.79%,10.1
2026-02-04,1,179,0.56%,16.7
2026-02-05,0,201,0%,22.1
2026-02-06,0,161,0%,20.9
2026-02-07,2,163,1.23%,20.5
2026-02-08,4,317,1.26%,23.8
2026-02-09,0,186,0%,22.6
2026-02-10,1,190,0.53%,21.1
2026-02-11,1,204,0.49%,19.7
2026-02-12,0,192,0%,22.1
2026-02-13,1,207,0.48%,20
2026-02-14,1,210,0.48%,16.4
2026-02-15,2,370,0.54%,23.9
2026-02-16,2,105,1.9%,17.9
2026-02-17,3,127,2.36%,13.4
2026-02-18,0,156,0%,16.7
2026-02-19,0,103,0%,16.2
2026-02-20,2,235,0.85%,16.4
2026-02-21,2,230,0.87%,19.5
2026-02-22,2,449,0.45%,20.1
2026-02-23,0,233,0%,17.7
2026-02-24,1,239,0.42%,20.5
2026-02-25,3,212,1.42%,21.8
2026-02-26,2,245,0.82%,17.2
2026-02-27,0,236,0%,17.5
2026-02-28,1,172,0.58%,18.2
2026-03-01,0,324,0%,27.8
2026-03-02,3,156,1.92%,15.9
2026-03-03,4,221,1.81%,15.9
2026-03-04,2,190,1.05%,16.4
2026-03-05,0,145,0%,19.4
2026-03-06,1,195,0.51%,21
2026-03-07,0,179,0%,21.5
2026-03-08,1,217,0.46%,22.5
2026-03-09,3,134,2.24%,11.2
2026-03-10,1,209,0.48%,16.1
2026-03-11,1,228,0.44%,16
2026-03-12,3,188,1.6%,15
2026-03-13,5,189,2.65%,15.9
2026-03-14,1,72,1.39%,13.3
2026-03-15,0,82,0%,13.3
2026-03-16,0,104,0%,10.2
2026-03-17,1,77,1.3%,7.9
2026-03-18,1,57,1.75%,10.9
2026-03-19,0,42,0%,9.1
2026-03-20,0,26,0%,5.5
2026-03-21,0,54,0%,9.1
2026-03-22,0,85,0%,12.9
2026-03-23,1,134,0.75%,12.4
2026-03-24,4,186,2.15%,9.3
2026-03-25,5,188,2.66%,11.7
2026-03-26,3,167,1.8%,11.3
2026-03-27,0,200,0%,15.4
2026-03-28,3,199,1.51%,12
2026-03-29,4,309,1.29%,14.9
2026-03-30,4,256,1.56%,11.5
2026-03-31,7,258,2.71%,11
2026-04-01,3,256,1.17%,14
2026-04-02,4,216,1.85%,13.4
2026-04-03,3,285,1.05%,15.3
2026-04-04,7,254,2.76%,11.8
2026-04-05,5,313,1.6%,11.1
2026-04-06,11,307,3.58%,15.5
2026-04-07,2,229,0.87%,15
2026-04-08,10,239,4.18%,14.3
2026-04-09,2,206,0.97%,14.6
2026-04-10,3,217,1.38%,15.7
2026-04-11,4,227,1.76%,13.2
2026-04-12,4,292,1.37%,15
2026-04-13,3,181,1.66%,12.3
2026-04-14,4,195,2.05%,14.2
2026-04-15,1,157,0.64%,13.4