País,Clics,Impresiones,CTR,Posición
España,124,13456,0.92%,17.76
Francia,14,1240,1.13%,20.34
Reino Unido,8,196,4.08%,15.91
Estados Unidos,4,475,0.84%,12.81
Canadá,4,62,6.45%,23.02
Alemania,3,198,1.52%,8.67
Países Bajos,2,483,0.41%,18.4
Suecia,2,12,16.67%,12.17
Bélgica,1,117,0.85%,5.19
Suiza,1,44,2.27%,8.59
Rusia,1,22,4.55%,26
Chile,1,19,5.26%,11.32
Portugal,1,16,6.25%,13.56
Uruguay,1,9,11.11%,4.56
Bielorrusia,1,7,14.29%,9.86
Hong Kong,1,5,20%,6
Irlanda,1,5,20%,11.8
Noruega,1,5,20%,11.8
Chequia,0,85,0%,11.93
Italia,0,76,0%,17.34
La India,0,55,0%,24.31
México,0,36,0%,14.53
Brasil,0,35,0%,14.06
Polonia,0,33,0%,11.79
Argentina,0,33,0%,14
Indonesia,0,30,0%,25.03
Vietnam,0,29,0%,18.59
Tailandia,0,28,0%,15.82
Filipinas,0,26,0%,27.12
Colombia,0,23,0%,23.91
Austria,0,22,0%,5.41
Ucrania,0,19,0%,22.89
Andorra,0,18,0%,11.06
Australia,0,14,0%,8.07
Corea del Sur,0,14,0%,27.86
Egipto,0,13,0%,38.23
Luxemburgo,0,12,0%,5.67
Japón,0,12,0%,11.17
Turquía,0,12,0%,18.17
Argelia,0,12,0%,36.75
Bangladés,0,11,0%,29.18
Arabia Saudí,0,9,0%,38.56
Kazajistán,0,8,0%,31.12
Pakistán,0,7,0%,18.14
Perú,0,7,0%,18.57
Malasia,0,6,0%,8.33
Ecuador,0,6,0%,12.17
Dinamarca,0,6,0%,22
República Dominicana,0,6,0%,22.5
Marruecos,0,5,0%,3.2
Venezuela,0,5,0%,27.6
Bulgaria,0,4,0%,5.5
Rumanía,0,4,0%,5.5
Costa Rica,0,4,0%,7.5
Nueva Zelanda,0,4,0%,9
Israel,0,4,0%,15.75
Ghana,0,4,0%,19.75
Croacia,0,4,0%,30
Chipre,0,4,0%,37.75
Taiwán,0,4,0%,42.25
Emiratos Árabes Unidos,0,3,0%,3.67
Senegal,0,3,0%,5.33
Letonia,0,3,0%,8
Paraguay,0,3,0%,14.33
Nigeria,0,3,0%,14.67
Túnez,0,3,0%,24
Hungría,0,2,0%,3
Sri Lanka,0,2,0%,4
Singapur,0,2,0%,5
China,0,2,0%,7
Lituania,0,2,0%,8
Región desconocida,0,2,0%,8.5
Islas Vírgenes de los Estados Unidos,0,2,0%,10
Omán,0,2,0%,19
Nepal,0,2,0%,19.5
Azerbaiyán,0,2,0%,20
Sudáfrica,0,2,0%,22
Uzbekistán,0,2,0%,26.5
Puerto Rico,0,2,0%,37.5
Armenia,0,1,0%,1
Finlandia,0,1,0%,3
Kosovo,0,1,0%,5
Etiopía,0,1,0%,6
Grecia,0,1,0%,6
Irán,0,1,0%,6
Serbia,0,1,0%,6
Islandia,0,1,0%,7
Islas Salomón,0,1,0%,7
Guatemala,0,1,0%,10
Moldavia,0,1,0%,10
Montenegro,0,1,0%,10
Albania,0,1,0%,11
República Democrática del Congo,0,1,0%,11
Mauricio,0,1,0%,11
Kirguistán,0,1,0%,12
Maldivas,0,1,0%,14
Malta,0,1,0%,16
Panamá,0,1,0%,20
Jordania,0,1,0%,21
Camerún,0,1,0%,27
Iraq,0,1,0%,27
Camboya,0,1,0%,36
Costa de Marfil,0,1,0%,37
Kenia,0,1,0%,66
Myanmar (Birmania),0,1,0%,86
Togo,0,1,0%,90
Tayikistán,0,1,0%,99